lower,upper,quantity,interval,phi_rib
0.115076,0.117124,phi_mem_ppc,10%,0.17635135135135135
0.116109,0.116109,phi_mem_ppc,median,0.17635135135135135
0.09784557499999999,0.1334048,phi_mem_ppc,95%,0.18243243243243246
0.10106860000000001,0.13019905,phi_mem_ppc,90%,0.18243243243243246
0.104659,0.1266731,phi_mem_ppc,80%,0.18243243243243246
0.1068017,0.1245163,phi_mem_ppc,70%,0.18243243243243246
0.10718488000000001,0.124162,phi_mem_ppc,68%,0.18243243243243246
0.1086108,0.12288160000000001,phi_mem_ppc,60%,0.18243243243243246
0.110079,0.12144175,phi_mem_ppc,50%,0.18243243243243246
0.111428,0.120197,phi_mem_ppc,40%,0.18243243243243246
0.1125883,0.11899635,phi_mem_ppc,30%,0.18243243243243246
0.11372360000000001,0.117883,phi_mem_ppc,20%,0.18243243243243246
0.11480265,0.11683945,phi_mem_ppc,10%,0.18243243243243246
0.115864,0.115864,phi_mem_ppc,median,0.18243243243243246
0.09778922749999999,0.133107375,phi_mem_ppc,95%,0.18851351351351353
0.10118079999999999,0.12999125,phi_mem_ppc,90%,0.18851351351351353
0.10466779999999999,0.1265282,phi_mem_ppc,80%,0.18851351351351353
0.1068291,0.12435634999999999,phi_mem_ppc,70%,0.18851351351351353
0.10714384,0.12399816,phi_mem_ppc,68%,0.18851351351351353
0.1085384,0.1227612,phi_mem_ppc,60%,0.18851351351351353
0.1098795,0.121339,phi_mem_ppc,50%,0.18851351351351353
0.11111570000000001,0.12004309999999999,phi_mem_ppc,40%,0.18851351351351353
0.11229929999999999,0.11881135,phi_mem_ppc,30%,0.18851351351351353
0.1134198,0.1176872,phi_mem_ppc,20%,0.18851351351351353
0.11448675,0.116573,phi_mem_ppc,10%,0.18851351351351353
0.115581,0.115581,phi_mem_ppc,median,0.18851351351351353
0.0975321075,0.13315134999999997,phi_mem_ppc,95%,0.1945945945945946
0.1006353,0.12978335,phi_mem_ppc,90%,0.1945945945945946
0.104339,0.126291,phi_mem_ppc,80%,0.1945945945945946
0.10659085,0.12407675,phi_mem_ppc,70%,0.1945945945945946
0.10692952,0.12374916,phi_mem_ppc,68%,0.1945945945945946
0.1082548,0.12245120000000001,phi_mem_ppc,60%,0.1945945945945946
0.1096765,0.12091375,phi_mem_ppc,50%,0.1945945945945946
0.1108581,0.1196516,phi_mem_ppc,40%,0.1945945945945946
0.11204365000000001,0.11853635,phi_mem_ppc,30%,0.1945945945945946
0.1131526,0.117382,phi_mem_ppc,20%,0.1945945945945946
0.11421155,0.116313,phi_mem_ppc,10%,0.1945945945945946
0.115236,0.115236,phi_mem_ppc,median,0.1945945945945946
0.0970589325,0.13266799999999998,phi_mem_ppc,95%,0.20067567567567568
0.1003823,0.12960134999999998,phi_mem_ppc,90%,0.20067567567567568
0.1039146,0.1260502,phi_mem_ppc,80%,0.20067567567567568
0.10606525,0.1237109,phi_mem_ppc,70%,0.20067567567567568
