strain,carbon_source,date,inducer_conc,replicate,entry,name,synonyms,intensity,norm_intensity,common_intensity,mass_frac,rel_mass_frac,localization
relA,glucose,2024-05-23,0,2,AGP_ECOLI,agp,b1002 JW0987,6.44e-06,0.784012811383746,16328000.0,6.442173979630547e-06,2.2038135428189535e-05,phi_peri
relA,glucose,2024-05-26,2,2,AGP_ECOLI,agp,b1002 JW0987,4.13e-06,0.496087989930318,16328000.0,4.128320606838151e-06,1.394473935583616e-05,phi_peri
relA,glucose,2024-05-25,4,2,AGP_ECOLI,agp,b1002 JW0987,1.26e-05,1.43709216632635,16328000.0,1.26062860725325e-05,4.039580900265245e-05,phi_peri
lacZ,glucose,2024-05-25,0,2,AGP_ECOLI,agp,b1002 JW0987,2.87e-06,0.351754203129106,16328000.0,2.87056920590224e-06,9.887602158327231e-06,phi_peri
lacZ,glucose,2024-05-28,1,2,AGP_ECOLI,agp,b1002 JW0987,4.46e-06,0.554334344010469,16328000.0,4.464321032515029e-06,1.5582009845269976e-05,phi_peri
lacZ,glucose,2024-05-26,3,2,AGP_ECOLI,agp,b1002 JW0987,4.14e-06,0.501626182908764,16328000.0,4.136624371656756e-06,1.4100414677864414e-05,phi_peri
lacZ,glucose,2024-05-25,5,2,AGP_ECOLI,agp,b1002 JW0987,3.97e-06,0.477450553551268,16328000.0,3.968133030927184e-06,1.3420852065996033e-05,phi_peri
wildtype,glucose,2024-05-22,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.36e-06,0.718948938472524,3762100.0,1.35663678359958e-06,4.0564455e-05,phi_peri
wildtype,glucose+acetate,2024-05-22,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,2.22e-06,1.14338823789169,3762100.0,2.222176778669363e-06,6.451212073840386e-05,phi_peri
wildtype,glycerol,2024-05-22,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,3.34e-06,1.62582427853262,3762100.0,3.341942828565822e-06,9.17320719946572e-05,phi_peri
wildtype,sorbitol,2024-05-22,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,3.13e-06,1.49355766787164,3762100.0,3.1349885053340183e-06,8.426934037485817e-05,phi_peri
wildtype,glucoseCAA,2024-05-24,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,2.89e-06,1.48059371672587,3762100.0,2.8934333520331223e-06,8.353788980203717e-05,phi_peri
wildtype,LB,2024-05-24,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.31e-06,0.674637260989069,3762100.0,1.3105877300410258e-06,3.806430658741448e-05,phi_peri
wildtype,acetate,2024-05-25,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.76e-06,0.863946409941545,3762100.0,1.763931067445255e-06,4.874548579617201e-05,phi_peri
meshI,glucose,2024-05-23,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.41e-06,0.753956821282217,3762100.0,1.4138087993323876e-06,4.25396657707345e-05,phi_peri
meshI,glucose,2024-05-23,100,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.32e-06,0.696571208047098,3762100.0,1.3237409131030011e-06,3.930186124643956e-05,phi_peri
relA,glucose,2024-05-23,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.67e-06,0.855117876843087,3762100.0,1.671443736047767e-06,4.824736330871235e-05,phi_peri
relA,glucose,2024-05-23,2,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,2.05e-06,0.994875545370093,3762100.0,2.046676525993856e-06,5.613275454096508e-05,phi_peri
relA,glucose,2024-05-25,4,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,2.87e-06,1.34031533288276,3762100.0,2.8680214649240374e-06,7.56231188296143e-05,phi_peri
lacZ,glucose,2024-05-25,0,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.93e-06,0.973946055408858,3762100.0,1.925021189733754e-06,5.495187324568251e-05,phi_peri
lacZ,glucose,2024-05-28,1,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.5e-06,0.747249073693192,3762100.0,1.5014979170756994e-06,4.21612020013819e-05,phi_peri
lacZ,glucose,2024-05-29,3,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.66e-06,0.823215496488238,3762100.0,1.6551913435798746e-06,4.644737084325771e-05,phi_peri
lacZ,glucose,2024-05-25,5,1,AMIC_ECOLI,amiC,ygdN b2817 JW5449,1.69e-06,0.844208013676027,3762100.0,1.688619400281483e-06,4.763180825352775e-05,phi_peri
