value,kde,parameter
7.496431799999999,0.0,alpha_min
7.5269051,0.0,alpha_min
7.557378399999999,0.0,alpha_min
7.587851699999999,0.0,alpha_min
7.618325,0.0,alpha_min
7.648798299999999,0.0,alpha_min
7.679271599999999,0.0,alpha_min
7.7097449,0.0,alpha_min
7.740218199999999,0.0,alpha_min
7.770691499999999,0.0,alpha_min
7.8011648,0.0,alpha_min
7.831638099999999,0.0,alpha_min
7.862111399999999,0.0,alpha_min
7.8925847,0.0,alpha_min
7.923057999999999,0.0,alpha_min
7.953531299999999,0.0,alpha_min
7.9840046,0.0,alpha_min
8.0144779,0.0,alpha_min
8.0449512,0.0,alpha_min
8.0754245,0.0,alpha_min
8.1058978,0.0,alpha_min
8.1363711,0.0,alpha_min
8.1668444,0.0,alpha_min
8.1973177,0.0,alpha_min
8.227791,0.0,alpha_min
8.2582643,0.0,alpha_min
8.2887376,0.0,alpha_min
8.3192109,0.0,alpha_min
8.3496842,0.0,alpha_min
8.3801575,0.0,alpha_min
8.4106308,0.0,alpha_min
8.4411041,0.0,alpha_min
8.4715774,0.0,alpha_min
8.5020507,0.0,alpha_min
8.532524,0.0,alpha_min
8.5629973,0.0,alpha_min
8.5934706,0.0,alpha_min
8.6239439,0.0,alpha_min
8.6544172,0.0,alpha_min
8.6848905,0.0,alpha_min
8.7153638,0.0,alpha_min
8.7458371,0.0,alpha_min
8.7763104,0.0,alpha_min
8.8067837,0.0,alpha_min
8.837257,0.0,alpha_min
8.8677303,0.0,alpha_min
8.8982036,0.0,alpha_min
8.9286769,0.0,alpha_min
8.9591502,0.0,alpha_min
8.9896235,0.0,alpha_min
9.0200968,0.0,alpha_min
9.0505701,0.0,alpha_min
9.0810434,0.0,alpha_min
9.1115167,0.0,alpha_min
9.14199,0.0,alpha_min
0.00747395,4.768845878193326e-07,alpha_slope
0.0149479,9.432801314110248e-07,alpha_slope
0.02242185,1.7581940537279675e-06,alpha_slope
0.0298958,3.0908975645381014e-06,alpha_slope
0.03736975,5.1301117874029275e-06,alpha_slope
0.0448437,8.047741606182833e-06,alpha_slope
0.05231765,1.1947312519020381e-05,alpha_slope
0.0597916,1.6809338214602224e-05,alpha_slope
0.06726555000000001,2.2453655200078217e-05,alpha_slope
0.07473950000000001,2.854024022800144e-05,alpha_slope
0.08221345,3.462145840507504e-05,alpha_slope
0.0896874,4.0240709258729616e-05,alpha_slope
0.09716135000000001,4.5051474444418885e-05,alpha_slope
0.10463530000000001,4.8917221043732186e-05,alpha_slope
0.11210925,5.195561078894328e-05,alpha_slope
0.1195832,5.451156785785215e-05,alpha_slope
0.12705715,5.707375481425551e-05,alpha_slope
0.13453110000000001,6.017135767838507e-05,alpha_slope
0.14200505000000002,6.428866390179143e-05,alpha_slope
0.149479,6.981259566743912e-05,alpha_slope
0.15695295,7.69984584988285e-05,alpha_slope
0.16442690000000001,8.592519752004569e-05,alpha_slope
0.17190085,9.642854232530723e-05,alpha_slope
0.1793748,0.00010804133736623535,alpha_slope
0.18684875,0.00012000586312810961,alpha_slope
0.19432270000000001,0.0001314196374985804,alpha_slope
0.20179665000000002,0.00014152179901644963,alpha_slope
0.2092706,0.00015004534932519027,alpha_slope
0.21674455,0.00015750119475164287,alpha_slope
0.22421850000000002,0.00016526790733801012,alpha_slope
0.23169245,0.00017544271575576758,alpha_slope
0.2391664,0.00019052136155687412,alpha_slope
0.24664035,0.00021304817294641383,alpha_slope
0.2541143,0.000245363885157033,alpha_slope
0.26158825,0.00028948524924905463,alpha_slope
0.26906220000000003,0.000347041988001825,alpha_slope
0.27653615000000004,0.000419152426847304,alpha_slope
0.2840101,0.0005061760301284663,alpha_slope
0.29148405,0.0006074039557327962,alpha_slope
0.298958,0.0007208525907735579,alpha_slope
0.30643195,0.0008433342939454477,alpha_slope
0.3139059,0.0009708803729911218,alpha_slope
0.32137985,0.001099438456469283,alpha_slope
0.32885380000000003,0.001225643835429293,alpha_slope
0.33632775,0.0013474327866652375,alpha_slope
0.3438017,0.001464334255335434,alpha_slope
0.35127565,0.0015774072058000774,alpha_slope
0.3587496,0.001688924516355235,alpha_slope
0.36622355,0.001801981492924883,alpha_slope
0.3736975,0.0019201898675408606,alpha_slope
0.38117145,0.0020475097558271048,alpha_slope
0.38864540000000003,0.002188128867490447,alpha_slope
0.39611935000000004,0.0023462124114393803,alpha_slope
0.4035933,0.0025253928946638725,alpha_slope
0.41106725,0.002728042845044032,alpha_slope
0.4185412,0.002954578206356988,alpha_slope
0.42601515,0.0032031384253443083,alpha_slope
0.4334891,0.0034698954833335934,alpha_slope
0.44096305,0.003749987831597777,alpha_slope
0.44843700000000003,0.0040387878584250475,alpha_slope
0.45591095,0.004333046642643961,alpha_slope
0.4633849,0.0046315028190964825,alpha_slope
0.47085885,0.004934768721253957,alpha_slope
0.4783328,0.005244605854865685,alpha_slope
