strain,carbon_source,overexpression,inducer,inducer_conc,temperature,run_idx,growth_rate_hr,od_init,perturbation_idx,wt_carbon_idx,carbon_idx
wildtype,acetate,none,none,0,37.0,150,0.3549458439937306,0.0572393503586294,20,20,1
wildtype,acetate,none,none,0,37.0,156,0.3467723763756677,0.051916562422308,20,20,1
wildtype,acetate,none,none,0,37.0,158,0.332172409543816,0.0273000487269521,20,20,1
wildtype,glucose,none,none,0,37.0,94,0.7987377652679601,0.0405581993047082,21,21,4
wildtype,glucose,none,none,0,37.0,104,0.9398331366560384,0.0856062679358946,21,21,4
wildtype,glucose,none,none,0,37.0,105,0.9051122177302516,0.0622870772621635,21,21,4
wildtype,glucose,none,none,0,37.0,106,0.9005622890490491,0.0609532234517496,21,21,4
wildtype,glucose,none,none,0,37.0,107,0.8750164040725406,0.0675515691859914,21,21,4
wildtype,glucose,none,none,0,37.0,111,0.8730534381197552,0.1971244675345408,21,21,4
wildtype,glucose,none,none,0,37.0,113,0.7271074832983613,0.2129590675318764,21,21,4
wildtype,glucose,none,none,0,37.0,118,0.8032504894043647,0.0626741226433507,21,21,4
wildtype,glucose,none,none,0,37.0,124,0.8744025056513001,0.1442819989112756,21,21,4
wildtype,glucose,none,none,0,37.0,125,0.8877617585460478,0.0658498794115056,21,21,4
wildtype,glucose,none,none,0,37.0,128,0.8956248668182928,0.1230200060103093,21,21,4
wildtype,glucose,none,none,0,37.0,132,0.8018900728800775,0.0519156643398799,21,21,4
wildtype,glucose,none,none,0,37.0,142,0.5315868051249524,0.0592373689356392,21,21,4
wildtype,glucose,none,none,0,37.0,143,0.891082454093301,0.1541779979061161,21,21,4
wildtype,glucose,none,none,0,37.0,144,0.955452953597895,0.0219036670424646,21,21,4
wildtype,glucose,none,none,0,37.0,151,0.8875210545501964,0.0622748628778065,21,21,4
wildtype,glucose,none,none,0,37.0,153,0.8634289492621027,0.0549784531732744,21,21,4
wildtype,glucose,none,none,0,37.0,154,0.9303037255739984,0.0408277367489208,21,21,4
wildtype,glucose,none,none,0,37.0,160,0.8771422774862616,0.0317471995982121,21,21,4
wildtype,glucose,none,none,0,37.0,192,0.8744025056513001,0.1442819989112756,21,21,4
wildtype,glucose,none,none,0,37.0,199,0.90709932772965,0.0696663875212749,21,21,4
wildtype,glucose,none,none,0,37.0,206,0.9185650988000712,0.0595239561987299,21,21,4
